,S Uri,Song,A Uri,Artist,Genre,Song Pop,Artist Pop
1827,5l1RLE94Y7nrowPN5LvAci,Wake Me Up Before You Go-Go,5lpH0xAS4fVfLkACg9DAuM,Wham!,"['disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0,65
1828,0jSRZBsn3RqAhBDzAefHAD,Eye of the Tiger,26bcq2nyj5GB7uRr558iQg,Survivor,"['album rock', 'hard rock', 'rock', 'soft rock']",51,66
1829,6wAV49hRfOiCTHztORMy8Y,Crush,26PDtWYDJ1KD0brukKsJH1,Jennifer Paige,[],58,47
1830,0KsWvegLnQmb6SXbQ32FAi,Dancing in the Dark,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0,74
1831,23IK8TF2MSiLnuEjaYPfVV,Nightshift,6twIAGnYuIT1pncMAsXnEm,Commodores,"['adult standards', 'disco', 'funk', 'mellow gold', 'quiet storm', 'soft rock', 'soul']",64,63
1832,2m5xo4HEFHgOQpqqrxCS5u,Woman In Love,7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,"['adult standards', 'disco', 'hollywood', 'mellow gold', 'soft rock']",48,62
1833,4QjjabJx7K14tHwxEVI0Xc,What's Love Got To Do WIth It - 1997 Digital Remaster,1zuJe6b1roixEKMOtyrEak,Tina Turner,"['disco', 'new wave pop', 'soft rock']",0,68
1834,4X1LS2LEYxKdlvHq5oZesi,Sweet Home Alabama,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",0,71
1835,5HiKQLlJ3LAuz8J9yHB0HX,Teardrops - Single Version,7qShKycqNUP0GLEiTENDVZ,Womack & Womack,"['disco', 'post-disco', 'quiet storm', 'soul']",57,53
1836,7jtGa7FmUx7YxTbiy6tEsX,Don't You (Forget About Me) - 2001 Remastered Version,6hN9F0iuULZYWXppob22Aj,Simple Minds,"['art rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'scottish new wave', 'soft rock', 'synthpop']",0,66
1837,3F7HdGevVojxdsARD4RHad,Lambada,1LsXqDdYVyONhrjAORENbu,Kaoma,"['europop', 'italian disco', 'zouk']",0,55
1838,2DX0WG5OGLQLaXb41Cq1IA,I Will Survive - Remastered,6V6WCgi7waF55bJmylC4H5,Gloria Gaynor,['disco'],51,62
1839,0Z7O8GMQShj9TJrm2yX1R6,Jump - 2004 Remaster,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",56,71
1840,4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,0grdhNhiRLFBaFVyybqsj6,Richard Marx,"['album rock', 'mellow gold', 'new wave pop', 'soft rock']",75,61
1841,57lv3MvD8BEUIpkuh1IPxM,Love Is The Seventh Wave,0Ty63ceoRnnJKVEYP0VQpk,Sting,"['permanent wave', 'soft rock', 'sophisti-pop']",30,70
1842,2yw8qcJ9HTrOiN2HUQFDLa,Black Velvet,6IYnSXO40Bh7Zdqhf6rQoj,Alannah Myles,"['classic canadian rock', 'new wave pop']",0,54
1843,6uP1ltEgH9Na7C1AkxJTvF,Gimme Gimme Gimme (with Patti Austin),37WGztoQRbNgo55GQCw75B,Narada Michael Walden,"['disco', 'post-disco']",53,38
1844,3kme5Qos8h04yrKxsgur79,Open Your Heart,6tbjWDEIzxoDsBA1FuhfPW,Madonna,"['dance pop', 'pop']",56,76
1845,1Rvl8qsKJurfFTyWLBI9ib,"Baby, I Love Your Way",0Jeckitay8SbvKwqAzWuYH,Big Mountain,"['reggae', 'reggae fusion']",70,55
1846,0s45sL9DLOcro6VbmagQKl,Rock the Boat,6PpGPIrFf3LM7Q77eR4Bts,Hues Corporation,"['classic uk pop', 'disco']",45,48
1847,1ddfBve2WRkzF1ALYh1PVR,Someone Loves You Honey,2yqOp5zkBmCvwF5Hmtj6ZL,June Lodge,[],49,33
1848,3GBGdtSuPKI81bzrniHuF3,Wonderful Tonight,6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",52,70
1849,3941McqnrX9blUEelPxgot,Man! I Feel Like A Woman!,5e4Dhzv426EvQe3aDb64jL,Shania Twain,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",0,71
1850,4PifbP29I4IF0I437LTMW3,All That She Wants,5ksRONqssB7BR161NTtJAm,Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'pop rock']",0,62
1851,2M9ro2krNb7nr7HSprkEgo,Fast Car,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,"['folk', 'lilith', 'singer-songwriter', ""women's music""]",78,67
1852,5I9zIwGB6f0edpjO5oX2b9,Escape (The Pina Colada Song),0TqIPD4IS1w4e30R38B3vj,Rupert Holmes,"['soft rock', 'yacht rock']",59,59
1853,0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,3iDD7bnsjL9J4fO298r0L0,Chicago,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",74,67
1854,5Vrczz39CvlD3OGCa6utoA,Grease - 2007 Remaster,3CDKmzJu6uwEGnPLLZffpD,Frankie Valli,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'soft rock']",65,60
1855,4sr4NdrPfds9Qfors9UkiO,Solid,2EURsXo9qlt1aMWlviGCRi,Ashford & Simpson,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",58,43
1856,4Puh2M4qWDAY5qYMdIYic1,I Won't Let You Down,2S4OQZxRbWsQ5SLnmMs0GO,Ph.D.,[],42,36
1857,4sNUCCEp2vCtWENikh8l8D,You're a Friend of Mine,7hiRmH8QebrJgMZYAbFtoO,Clarence Clemons,[],0,33
1858,0BhAgu3p85JlNbg6Mh4bvZ,I'd Do Anything For Love (But I Won't Do That),7dnB1wSxbYa8CejeVg98hz,Meat Loaf,['album rock'],0,63
1859,1bvsVJDGG7bXsvGKfwM3yV,That Don't Impress Me Much,5e4Dhzv426EvQe3aDb64jL,Shania Twain,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",0,71
1860,6i5AWl19pUD53gqvtpl63m,Paradise by the Dashboard Light,7dnB1wSxbYa8CejeVg98hz,Meat Loaf,['album rock'],0,63
1861,1sxn00DXMAhO6vKExGljSt,When You Say Nothing At All,3nlHsNqwCSvT988ZfSW1Yh,Ronan Keating,"['dance pop', 'europop', 'soft rock']",37,61
1862,0COdsBYjOHc59D0DCJz2E7,Father And Son,08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0,67
1863,1RKreBdhKUXDXTZWY9Mu7v,Tonight (With David Bowie) - Live,1zuJe6b1roixEKMOtyrEak,Tina Turner,"['disco', 'new wave pop', 'soft rock']",52,68
1864,6u3iiP6NxYot3C8L1RlVVb,Un'emozione per sempre,61J0BktHv7PuP3tjTPYXSX,Eros Ramazzotti,"['italian adult pop', 'mexican pop']",0,68
1865,6lbme14HiDWYmGiw1I2Dv6,You,0ap24Mjt6qlze8v667KlaF,Ten Sharp,[],65,47
